"","uID","uLoc","rep","year","height","X","Y","year_num","gapID_num","height_mod"
"56","5156:19","5156:19",0,2002,2,75.99,-156.24,1,NA,-22.8248351234219
"57","5156:20","5156:20",1,2004,38,75.73,-156.18,3,NA,13.1751648765781
"58","5156:20","5156:20",1,2003,25,75.73,-156.18,2,NA,0.175164876578105
"59","5156:20","5156:20",0,2002,2,75.73,-156.18,1,NA,-22.8248351234219
"60","5156:21","5156:21",1,2004,28,76.27,-156.01,3,NA,3.1751648765781
"61","5156:21","5156:21",1,2003,19,76.27,-156.01,2,NA,-5.8248351234219
"62","5156:21","5156:21",0,2002,2,76.27,-156.01,1,NA,-22.8248351234219
"63","5156:22","5156:22",1,2004,35,76.41,-155.68,3,NA,10.1751648765781
"64","5156:22","5156:22",1,2003,13,76.41,-155.68,2,NA,-11.8248351234219
"65","5156:22","5156:22",0,2002,2,76.41,-155.68,1,NA,-22.8248351234219
"67","5156:23","5156:23",0,2002,4,76.07,-155.87,1,NA,-20.8248351234219
"68","5156:24","5156:24",1,2004,29,76.24,-155.43,3,NA,4.1751648765781
"69","5156:24","5156:24",1,2003,21,76.24,-155.43,2,NA,-3.8248351234219
"70","5156:24","5156:24",0,2002,2,76.24,-155.43,1,NA,-22.8248351234219
"71","5156:25","5156:25",1,2004,33,76.37,-155.34,3,NA,8.1751648765781
"72","5156:25","5156:25",1,2003,25,76.37,-155.34,2,NA,0.175164876578105
"73","5156:25","5156:25",0,2002,2,76.37,-155.34,1,NA,-22.8248351234219
"74","5156:26","5156:26",1,2004,25,76.39,-155.1,3,NA,0.175164876578105
"75","5156:26","5156:26",0,2003,7,76.39,-155.1,2,NA,-17.8248351234219
"76","5156:26","5156:26",0,2002,3,76.39,-155.1,1,NA,-21.8248351234219
"77","5156:27","5156:27",1,2004,26,75.52,-154.43,3,NA,1.1751648765781
"78","5156:27","5156:27",1,2003,25,75.52,-154.43,2,NA,0.175164876578105
"79","5156:27","5156:27",0,2002,4,75.52,-154.43,1,NA,-20.8248351234219
"81","5156:28.28","5156:28",0,2002,1,77.44,-154.07,1,NA,-23.8248351234219
"83","5156:28.29","5156:28",0,2002,1,77.44,-154.07,1,NA,-23.8248351234219
"85","5156:28.30","5156:28",0,2002,1,77.44,-154.07,1,NA,-23.8248351234219
"87","5156:28.31","5156:28",0,2002,1,77.44,-154.07,1,NA,-23.8248351234219
"88","5156:28.32","5156:28",1,2004,35,77.44,-154.07,3,NA,10.1751648765781
"89","5156:28.32","5156:28",0,2003,6,77.44,-154.07,2,NA,-18.8248351234219
"90","5156:28.32","5156:28",0,2002,2,77.44,-154.07,1,NA,-22.8248351234219
"91","5156:28.33","5156:28",0,2004,17,77.44,-154.07,3,NA,-7.8248351234219
"92","5156:28.33","5156:28",0,2003,11,77.44,-154.07,2,NA,-13.8248351234219
"93","5156:28.33","5156:28",0,2002,2,77.44,-154.07,1,NA,-22.8248351234219
"94","5156:29","5156:29",1,2004,19,77.29,-153.87,3,NA,-5.8248351234219
"95","5156:29","5156:29",0,2003,8,77.29,-153.87,2,NA,-16.8248351234219
"96","5156:29","5156:29",0,2002,2,77.29,-153.87,1,NA,-22.8248351234219
"97","5161:30","5161:30",1,2004,30,103.79,-138.3,3,NA,5.1751648765781
"98","5161:30","5161:30",1,2003,30,103.79,-138.3,2,NA,5.1751648765781
"99","5161:30","5161:30",0,2002,5,103.79,-138.3,1,NA,-19.8248351234219
"100","5161:31","5161:31",1,2004,52,104.21,-138.69,3,NA,27.1751648765781
"101","5161:31","5161:31",1,2003,43,104.21,-138.69,2,NA,18.1751648765781
"102","5161:31","5161:31",1,2002,19,104.21,-138.69,1,NA,-5.8248351234219
