"","uni_spp","uX","uY","R0_mean","R0_med","R0_lq95","R0_uq95","life_expect","life_expect_lq95","life_expect_uq95","mean_repA","mean_rep_lq95","mean_rep_uq95","sen_rep","sen_sur","sen_gr","sen_life_ex","sen_mean_rep","elas_rep","elas_sur","elas_gr","elas_rep_fl","elas_sur_le"
"55","uspp_55",78.27,-154.27,190.037902581644,121.691223926288,23.1296127082498,657.108290325137,4.2761342146934,1.64539895106892,10.9187364802082,24.024142532656,14.7781659412761,35.3491990249418,4.07978653571824,217.572554065957,24.4582265135586,3.17599981937079,1.74270542874325,0.0595302734583148,1.98905018173232,2.84986926736786,0.412327136713558,1.81268884859939
"56","uspp_56",77.124,-155.004,146.373883254999,116.946770075956,32.5597222874582,415.460598542153,4.22973532456141,1.99348970987306,9.70770191022877,20.7798745840686,14.746237295978,27.9871915934341,4.35077043797618,166.789644716928,19.5068582786094,3.12633455645041,1.72792657231127,0.0671256240152562,1.96297458474437,2.9851160883479,0.422108700211922,1.68655997539284
"57","uspp_57",78.555,-156.155,297.553073532844,182.387983938911,28.6993579544634,1171.9323229858,7.21165251403918,1.99417462126735,22.5397163072351,19.651021539713,12.0522971832875,28.0841181894239,7.38682899779879,316.045353277431,44.4127229311508,5.90516076144086,1.67415194371521,0.0679642840927505,1.87197128360771,3.2875445320794,0.394017853433413,1.50021304609885
"58","uspp_58",87.5771428571429,-164.272857142857,143.066545491004,106.397123483086,28.7513375020233,501.451350944824,3.02448216980374,1.628218955019,6.64061522875078,31.3641553613885,22.4794775038721,41.5823983283253,2.19737699429616,172.958552672456,16.5200948241231,1.95766919608854,1.49205426741639,0.0389604157394995,2.07018817464679,2.5513878029251,0.432589099209379,2.09553290793444
"59","uspp_59",88.03,-164.765,198.640975207445,129.516525808752,28.0371118303659,681.556010054369,3.57720766591657,1.58731703136974,8.33884570554395,31.6330037697084,21.3871200993696,45.2281889892728,2.49977068388204,235.131059450446,23.5722914037313,2.49700763741578,1.50768144082726,0.0363767439992323,2.05772025495479,2.59299108799026,0.398530999621072,2.00986981711904
"60","uspp_60",91.9857142857143,-169.218571428571,55.6025496356084,39.8167693520741,12.4387806560868,206.165904726878,2.07595029031209,1.34102834302221,4.10109599037549,27.8744682594452,18.3712009803529,39.9118893819215,1.55488946392219,65.0889645580492,5.96257527790597,1.04109937919455,1.2383181912284,0.0740879980756748,1.92488620110133,2.30200047298244,0.925679828573483,2.60841701923369
"61","uspp_61",89.03,-164.07,201.441267040779,131.075918712536,19.4999329970075,758.014855082241,3.71378283450276,1.50118613524885,9.69011659936236,29.3154779341079,17.8438189226849,42.036259372035,3.34946498426524,237.610360650279,24.597285204345,2.63043240747836,1.90447758516881,0.0489615240889671,2.05835593271965,2.68633372092831,0.380511628937474,2.03197369999766
"62","uspp_62",79.85,-164.89,409.017931387511,192.905391242728,19.9196984622885,2016.53447446,4.83876161957749,1.39776173847327,16.1808875204666,34.2084697386735,16.1121785640301,57.770320411575,4.02464317101643,468.768941332937,49.9104935773381,3.72555814111701,1.94923655087827,0.0415758335220247,2.05384630528984,2.67707474520105,0.351495103268818,2.04218004454551
"63","uspp_63",39.07,30.89,193.741041245131,109.107630351587,18.5189173956954,914.497614719317,2.68482720927498,1.32207625065401,6.67876432116054,42.0644904924077,22.4308077351454,66.194208384593,2.30661978123745,240.767820402188,21.5255065298357,1.61467523621123,2.12411514984178,0.0409989822761452,2.15342166234766,2.48059981335876,0.407210435027625,2.61952251099514
"64","uspp_64",39.17,30.37,158.090599048374,98.6502498914665,17.5032087824189,693.875077020145,2.49602759548759,1.32420080369035,5.63875850094372,41.3549715151369,22.8114250200891,65.8304079310461,2.20971184397325,199.579618977582,17.6541851065206,1.43322131513343,2.15004685585101,0.0434262086951916,2.15825849408963,2.47518747564165,0.421144016519696,2.66855931649446
"65","uspp_65",41.145,36.795,366.384359812623,259.494247091976,51.6253153525643,1391.12867959023,3.58619132990931,1.73225948960975,8.44908971465336,46.6600958052384,29.404046262765,69.1348457227637,2.20443457129448,452.488680366562,41.1193101925611,2.48036661566522,1.69741901279915,0.018591820016115,2.15931999006527,2.52764820557621,0.254488899874702,2.05293832651075
"66","uspp_66",94.87,-183.05,856.538567124243,419.96467211817,44.2784262814887,4033.29434905888,13.5350017558838,2.10379571971418,57.0819773897335,24.4600545229819,14.1574437043939,38.6963068015828,10.2626960386187,880.679795198015,127.005703094333,11.8736693854418,1.55627513862226,0.0381905902528147,1.85846174011707,3.17477940746852,0.280548237972862,1.38951754416803
"67","uspp_67",94.9533333333333,-184.356666666667,762.177563814664,421.718565684184,50.2883980997386,3715.31445814161,11.6180561797072,2.26767629176353,46.1566298744064,25.7434566868328,16.2345354191329,38.9205316674689,8.77512158142485,803.363683077039,106.739710105615,10.2412631972198,1.59074156609738,0.0333953137101784,1.89279630355852,3.03281688020126,0.264148305468053,1.41507750421158
"68","uspp_68",94.19,-185.08,671.575957890018,346.376804222571,36.7704238797245,3206.70996110131,9.10857144866478,1.8272266936263,35.2868690609972,28.6109566352982,17.2187536100634,43.8774109606547,6.07754045270464,724.161272820393,88.1609297252831,7.8822073130038,1.51377114496498,0.0308251849132175,1.93965353641443,2.87240814556062,0.282705166871049,1.53955567997063
"69","uspp_69",94.395,-183.705,778.735887396702,429.275169738966,56.555113276853,3613.82043112837,12.860621363061,2.29279021393109,56.152631911462,24.1554871379742,14.8333174768293,35.4729748277428,10.1174771375028,805.120109991185,115.561439772593,11.2785973023031,1.57502355682393,0.0368606181509195,1.86496545885481,3.15785738690622,0.273641793247113,1.37710817968883
"70","uspp_70",38.7227272727273,-51.9663636363636,57.4543708672165,51.1404568152501,23.5636148509458,122.547002491292,2.14461405615675,1.58321556511715,3.01304776655845,27.3870386559629,20.9047130643438,35.7353613723783,1.87006881508232,69.714446167204,6.33159927217229,1.1060060191109,1.72680520907927,0.066108102302227,2.05072344300052,2.49634259074846,0.563520499368203,2.43960421703968
"71","uspp_71",38.85,-52.6714285714286,25.482361106329,23.0285419144335,9.51612683086531,57.692049335076,1.53913014584142,1.23652527495338,2.03814732780788,29.7404699835321,21.9899534096922,39.5547550825296,1.17577165527359,29.2930349432879,2.51010677997635,0.522498108719564,1.77625468349313,0.0956694233892521,1.90378818057226,2.20900761085265,0.86530813879763,3.54209307868984
