"","uID","uLoc","rep","year","height","height_prev","X","Y"
"3821","5189:1289","5189:1289",1,2005,41,30,79.83,-97.96
"3822","5189:1289","5189:1289",1,2004,30,14,79.83,-97.96
"3825","5189:1290","5189:1290",1,2004,37,25,80.29,-98.52
"3827","5189:1291","5189:1291",1,2007,34.4,35.7,79.93,-98.88
"3828","5189:1291","5189:1291",1,2006,35.7,46.5,79.93,-98.88
"3829","5189:1291","5189:1291",1,2005,46.5,37,79.93,-98.88
"3830","5189:1291","5189:1291",1,2004,37,26,79.93,-98.88
"3832","5189:1292","5189:1292",1,2007,35.5,33.5,80.13,-99.01
"3833","5189:1292","5189:1292",1,2006,33.5,40.5,80.13,-99.01
"3834","5189:1292","5189:1292",1,2005,40.5,37,80.13,-99.01
"3835","5189:1292","5189:1292",1,2004,37,28,80.13,-99.01
"3838","5189:1293","5189:1293",1,2006,36.5,41.2,80.58,-99.08
"3839","5189:1293","5189:1293",1,2005,41.2,45,80.58,-99.08
"3840","5189:1293","5189:1293",1,2004,45,29,80.58,-99.08
"3843","5189:1294","5189:1294",1,2006,39.8,47.3,80.54,-99.4
"3844","5189:1294","5189:1294",1,2005,47.3,32,80.54,-99.4
"3845","5189:1294","5189:1294",1,2004,32,16,80.54,-99.4
"3848","5189:1295","5189:1295",1,2006,47.6,56,80.22,-105.43
"3849","5189:1295","5189:1295",1,2005,56,45,80.22,-105.43
"3850","5189:1295","5189:1295",1,2004,45,42,80.22,-105.43
"3852","5183:1296","5183:1296",1,2004,50,37,72.55,-112.26
"3854","5183:1297","5183:1297",1,2004,40,36,72.5,-112.28
"3856","5188:1298","5188:1298",0,2004,24,30,88.31,-123.89
"3858","5188:1299","5188:1299",0,2004,17,26,88.38,-123.89
"3860","5188:1300","5188:1300",1,2004,37,35,88.4,-123.91
"3891","5197:1501","5197:1501",1,2005,54.1,45,34,-44.97
"3892","5197:1501","5197:1501",1,2004,45,19,34,-44.97
"3896","5197:1503","5197:1503",1,2005,38.7,11,34.5,-44.84
"3897","5197:1503","5197:1503",0,2004,11,3,34.5,-44.84
"3900","5197:1504","5197:1504",1,2004,33,10,33.61,-44.81
"3903","5197:1505","5197:1505",0,2004,15,3,33.63,-44.63
"3906","5197:1506","5197:1506",0,2004,18,3,33.66,-44.63
"3909","5197:1507","5197:1507",1,2004,15,2,33.72,-44.61
"3912","5197:1508","5197:1508",1,2005,47.5,27,33.77,-44.58
"3913","5197:1508","5197:1508",1,2004,27,3,33.77,-44.58
"3916","5197:1509","5197:1509",1,2005,43.5,28,33.71,-44.42
"3917","5197:1509","5197:1509",1,2004,28,2,33.71,-44.42
"3920","5197:1510","5197:1510",1,2005,51.5,13,33.88,-44.43
"3921","5197:1510","5197:1510",1,2004,13,7,33.88,-44.43
"3924","5197:1511","5197:1511",1,2004,29,5,34.02,-44.67
"3928","5197:1513","5197:1513",1,2007,35.7,24.8,34.22,-44.39
"3929","5197:1513","5197:1513",1,2006,24.8,42.8,34.22,-44.39
"3930","5197:1513","5197:1513",1,2005,42.8,30,34.22,-44.39
"3931","5197:1513","5197:1513",1,2004,30,3,34.22,-44.39
"3934","5197:1514","5197:1514",1,2004,27,2,32.84,-44.94
"3937","5197:1515","5197:1515",1,2004,16,4,32.89,-45.02
"3942","5197:1517","5197:1517",0,2004,18,1,33,-44.44
"3945","5197:1518","5197:1518",1,2005,49.4,21,33.1,-44.36
"3946","5197:1518","5197:1518",1,2004,21,3,33.1,-44.36
"3949","5197:1519","5197:1519",1,2005,43.5,40,33.18,-44.31
"3950","5197:1519","5197:1519",1,2004,40,8,33.18,-44.31
"3953","5197:1520","5197:1520",1,2005,47.3,29,33.05,-44.23
"3954","5197:1520","5197:1520",1,2004,29,3,33.05,-44.23
"3957","5197:1521","5197:1521",1,2005,49.3,20,33.02,-44.18
"3958","5197:1521","5197:1521",1,2004,20,2,33.02,-44.18
"3961","5197:1522","5197:1522",1,2004,30,3,32.97,-44.19
"3964","5197:1523","5197:1523",1,2005,31.1,40,33.36,-44.17
"3965","5197:1523","5197:1523",1,2004,40,8,33.36,-44.17
"3968","5197:1524","5197:1524",1,2004,33,11,33.38,-44
"3971","5197:1525","5197:1525",1,2005,54.1,28,33.84,-43.77
"3972","5197:1525","5197:1525",1,2004,28,15,33.84,-43.77
"3975","5197:1526","5197:1526",1,2004,39,17,33.23,-43.5
"3978","5197:1527","5197:1527",1,2004,35,4,32.99,-43.4
"3981","5197:1528","5197:1528",1,2005,30.5,26,33.04,-43.83
"3982","5197:1528","5197:1528",1,2004,26,2,33.04,-43.83
"3985","5197:1529","5197:1529",1,2004,32,4,32.91,-43.23
"3988","5197:1530","5197:1530",1,2004,37,6,32.46,-43.06
"3991","5197:1531","5197:1531",1,2004,38,15,32.16,-43.05
"3994","5197:1532","5197:1532",1,2004,31,9,32.32,-42.75
"3997","5197:1533","5197:1533",1,2004,37,7,32.38,-42.73
"4000","5197:1534","5197:1534",1,2004,37,8,32.38,-42.74
"4003","5197:1535","5197:1535",1,2004,28,3,32.35,-43.48
"4006","5197:1536","5197:1536",1,2004,40,9,32.21,-43.82
"4009","5197:1537","5197:1537",1,2004,33,6,32.35,-43.97
"4012","5197:1538","5197:1538",1,2004,29,2,32.57,-43.72
"4014","5197:1539","5197:1539",1,2007,47.5,24.1,32.16,-43.74
"4015","5197:1539","5197:1539",1,2006,24.1,39.9,32.16,-43.74
"4016","5197:1539","5197:1539",1,2005,39.9,31,32.16,-43.74
"4017","5197:1539","5197:1539",1,2004,31,2,32.16,-43.74
"4020","5197:1540","5197:1540",1,2005,50.5,30,31.08,-42.81
"4021","5197:1540","5197:1540",1,2004,30,8,31.08,-42.81
"4024","5197:1541","5197:1541",1,2004,38,21,30.39,-42.96
"4026","5197:1542","5197:1542",1,2007,59.5,41.2,31.72,-42.32
"4027","5197:1542","5197:1542",1,2006,41.2,53.2,31.72,-42.32
"4028","5197:1542","5197:1542",1,2005,53.2,27,31.72,-42.32
"4029","5197:1542","5197:1542",1,2004,27,8,31.72,-42.32
"4036","5197:1545","5197:1545",1,2005,40.1,31,31.52,-43.73
"4037","5197:1545","5197:1545",1,2004,31,6,31.52,-43.73
"4054","5197:1553","5197:1553",1,2004,22,4,32.37,-44.51
"4056","5197:1554","5197:1554",1,2004,29,2,32.86,-43.77
"4059","5197:1555","5197:1555",1,2004,35,37,29.65,-43.24
"4062","5197:1556","5197:1556",1,2004,37,40,29.64,-43.3
"4064","5197:1557","5197:1557",1,2007,42.1,36.9,30.6,-43.97
"4065","5197:1557","5197:1557",1,2006,36.9,28.1,30.6,-43.97
"4066","5197:1557","5197:1557",1,2005,28.1,29,30.6,-43.97
"4067","5197:1557","5197:1557",1,2004,29,8,30.6,-43.97
"4072","5197:1559","5197:1559",1,2005,35.7,27,32.14,-45.86
"4073","5197:1559","5197:1559",1,2004,27,2,32.14,-45.86
"4076","5197:1560","5197:1560",1,2005,40.7,16,31.95,-45.37
"4077","5197:1560","5197:1560",0,2004,16,2,31.95,-45.37
"4080","5197:1561","5197:1561",0,2004,20,2,32.97,-45.5
"4083","5197:1562","5197:1562",0,2004,4,3,33.08,-45.66
"4086","5197:1563","5197:1563",0,2005,9,7,33.25,-45.79
"4087","5197:1563","5197:1563",0,2004,7,3,33.25,-45.79
"4090","5197:1564","5197:1564",1,2005,41.5,35,32.96,-45.71
"4091","5197:1564","5197:1564",1,2004,35,8,32.96,-45.71
"4094","5197:1565","5197:1565",1,2005,41.2,14,33.1,-46.01
"4095","5197:1565","5197:1565",0,2004,14,5,33.1,-46.01
"4098","5197:1566","5197:1566",1,2005,17,11,33,-45.71
"4099","5197:1566","5197:1566",0,2004,11,2,33,-45.71
"4102","5197:1567","5197:1567",1,2004,29,9,33.24,-45.75
"4105","5197:1568","5197:1568",1,2005,33.2,19,33.82,-46.3
"4106","5197:1568","5197:1568",1,2004,19,5,33.82,-46.3
"4109","5197:1569","5197:1569",1,2005,39.7,6,33.06,-46.35
"4110","5197:1569","5197:1569",0,2004,6,2,33.06,-46.35
"4113","5197:1570","5197:1570",1,2005,25,7,33.09,-46.31
"4114","5197:1570","5197:1570",0,2004,7,1,33.09,-46.31
"4117","5197:1571","5197:1571",1,2005,64.3,26,32.99,-46.33
"4118","5197:1571","5197:1571",1,2004,26,4,32.99,-46.33
"4121","5197:1572","5197:1572",0,2004,3,2,32.69,-46.09
"4124","5197:1573","5197:1573",1,2005,26.1,11,32.66,-46.03
"4125","5197:1573","5197:1573",0,2004,11,2,32.66,-46.03
"4128","5197:1574","5197:1574",1,2005,41.6,12,32.63,-46.12
"4129","5197:1574","5197:1574",0,2004,12,2,32.63,-46.12
"4132","5197:1575","5197:1575",1,2005,38.7,5,32.95,-46.12
"4133","5197:1575","5197:1575",0,2004,5,2,32.95,-46.12
"4138","5197:1577","5197:1577",1,2005,41.5,16,31.72,-45.98
"4139","5197:1577","5197:1577",0,2004,16,4,31.72,-45.98
"4142","5197:1578","5197:1578",1,2005,50.5,31,34.58,-47.26
"4143","5197:1578","5197:1578",1,2004,31,28,34.58,-47.26
"4145","5197:1579","5197:1579",1,2007,52.2,35.1,34.98,-47.19
"4146","5197:1579","5197:1579",1,2006,35.1,40.6,34.98,-47.19
"4147","5197:1579","5197:1579",1,2005,40.6,30,34.98,-47.19
"4148","5197:1579","5197:1579",1,2004,30,18,34.98,-47.19
"4151","5197:1580","5197:1580",1,2005,47.8,32,35.41,-46.5
"4152","5197:1580","5197:1580",1,2004,32,29,35.41,-46.5
"4155","5197:1581","5197:1581",1,2005,50,23,36.1,-45.93
